502525 ; 2018-06-03 ; Claro - Boleta con error ; [Los tres planes correspondientes a pagar son de un valor de 15.900, por lo tanto el total debería ser de 47.700, ¿Por qué entonces me aparece en la página de internet un total a pagar de 77.143? ¿Cómo es posible siendo que la Boleta anterior ya fue facturada? Por favor aclaren este asunto, no puede ser que sean tan frecuentes estos casos al interior de su empresa.]
502509 ; 2018-06-03 ; Frontel - Fecha de pago y duda por transporte de electricidad ; [Buenos dias:Quiero saber en que parte de la ley dice que son uds. Los que nos agrupan en fechas de pago y no nosotros como clientes, al igual que en cualquier casa comercial, elegir la Fecha de pago mas conveniente, ya que todos los meses debo pagar mas de $200 porque pago al dia siguiente a la Fecha que uds estipulan., La otra consulta es sobre el transporte de electricidad ya que desde enero a la Fecha me han subido ese cobro un 400%., Marco Torres]
502503 ; 2018-06-03 ; Entel Pcs - Sin señal ; [Nose que pasa! He llamado formateado actualizado y nada. El viernes era prepago y el sabado plan y pesimo estoy sin señal pidiendo wifi. Trabajo con mi celular los dare de baja... me ire a movistar otra vez que terrible son. Cero llamarme de vuelta me cortan las llamadas y lo mejor es que tengo grabador de llamadas para demostrarlo pesimo pesimo pesimo.]
502492 ; 2018-06-03 ; Claro - Plan HD Ilimitado, Velocidad Disminuida de forma unilateral. ; [Por 4to mes consecutivo se me disminuye la Velocidad de forma unilateral, anteriormente por este mismo medio recibí una respuesta y se me reestablecio la Velocidad normal,  Eso fue el mes pasado y este mes  nuevamente recibí una rebaja de velocidad., dejando prácticamente inutilizable el internet en el celular., el reclamo anterior era la siguientehttps://www.reclamos.cl/claro/reclamo/2018/may/claro_plan_hd_ilimitado_v..., Me gustaría saber si esta situación se seguirá dando eternamente,. pues resulta cansador tener que reclamar mensualmente, y lo único que estoy pidiendo es que se respete lo que esta en el contrato que se firmo.. tampoco pido mucho.. , Desde ya gracias. Se despide atte, Un Cliente Descontento.]
502491 ; 2018-06-03 ; Entel Pcs - No puedo ingresar a Mi Entel ; [Hace ya un año que no puedo ingresar a Mi Entel, hace más de 6 meses que hice un reclamo telefónico y nunca se contactaron con la solución.]
502483 ; 2018-06-03 ; Entel Hogar  - No retiro de antenas  ; [Hace 3 meces aproximadamente contrate tv cable con la empresa Entel, la cual hace unos días desistí de sus servicios por el mal funcionamiento de este, solicite que se me retirara la antena de casa, ya que piden la devolución de los decodificadores de igual forma debería retirar la Antena a lo cual se me informó que eso no lo hacen por supuestamente la antena ya es mía no así los decodificadore me parece de mal gusto que obliguen la devolución de los deco a los clientes pero como empresa no son capaces de sacar sus antenas, este servicio aún no lo e cancelado  la última cuota y no lo are si el retiro de su antena no se hace efectivo, ya que tendré que pagar para que la retire un tercero porque los pernos están muy apretado y yo no puedo]
502478 ; 2018-06-03 ; Movistar - Técnico no asiste en la fecha y hora acordada ; [Toda una semana pidiendo q arreglen mi Internet, y me han tramitado en todos los aspectos posibles... Q el problema es de la plataforma y se arreglara en menos de 24 hrs, nunca fue... Dos visitas programadas y nunca vinieron y menos llamaron para una disculpa... Y así toda la semana y nada... Pésimo servicio y puras mentiras y nada y sigo sin Internet]
502475 ; 2018-06-02 ; Entel Pcs - Sin señal ; [El dia de 2 de junio del 2018 llevo más de 5 horas sin señal lo encuentro insolito ya que no puedo llamar y no habido ninguna explicación]
502451 ; 2018-06-02 ; Vtr - No Entregan Lo Que Estoy Pagando ; [Llevo mas de 3 años siendo cliente de VTR pagando mensualmente mas de $50.000 y siempre lo mismo me quedo sin Internet, mi hijo no puede hacer las tareas y yo me quedo sin poder terminar mis trabajos.He reclamado en varias ocaciones y me solucionan el problema vía telefónica pero no pasa una hora y vuelve a caer la señal, esto es inaudito y estamos ,muy molestos. VTR es una pésima compañíaEl mes pasado solicite 2 controles remotos TV, en sucursal en Mall Arauco Maipu, me cobraros $12.000 por dos controles remotos. y no me los entregaron, tuve que reclamar para que me descontaran los controles que nunca me entregaron. Ahora no tengo controles para las TV y tampoco tengo Internet.Realmente molestos con esta empresa..]
502448 ; 2018-06-02 ; Entel Pcs - señal  ; [mi equipo de un momento a otro queda sin señal como es posible que ocurra esto y ya van mas de 3 horas sin servicio y aca en el area donde esstamos a todos les paso lo mismo , sexta regionj chile mina el teniente.]
502425 ; 2018-06-02 ; Claro Chile  ; [Me cambie ayer a Claro contratando un plan, este funciono al siguiente día en la mañana, pero ahora dice SIM no valida, no me puedo conectar a internet ni hacer llamadas,]
502422 ; 2018-06-02 ; Vtr - Cobro de boleta completo con 10 dias de servicios ; [El motivo de este reclamo es por que el dia 15 de mayo 2018 contraté servicios de cable por 20.990 con VTR. 10 dias después me llega boleta con vencimiento de 05 de junio de 2018 monto a pagar 24.980. En el detalle me cobran dias proporcionales del mes anterior ( que nunca tuve VTR)  un chiste. Llamo a sucursal intento comunicarme con ejecutivo durante horas y nadie contesta. PESIMO PESIMO SERVICIO.]
502418 ; 2018-06-02 ; Vtr - Mal servicio ; [Quisiera reclamar frente al servicio de cable de la empresa VTR pues habitualmente fallan muchos canales que aparecen con el constante mensaje de « temporalmente fuera de servicio, regrese más tarde», sin embargo, permanecen sin servicio y así y todo te siguen cobrando el mismo monto por un servicio que no estás recibiendo completo. Y al consultar nadie es capaz de darte una respuesta adecuada y concreta pero para cobrarte no fallan ni te descuentan ni un peso por el servicio a medias que te prestan]
